date_time,cot_index,movement_index
2024-04-29 17:00:00,0.0,-37.52269856727919
2024-04-30 17:00:00,0.0,-37.52269856727919
2024-05-01 17:00:00,6.292155668423636,-31.230542898855557
2024-05-02 17:00:00,6.292155668423636,-24.50496272985489
2024-05-03 17:00:00,6.292155668423636,-24.50496272985489
2024-05-06 17:00:00,6.292155668423636,-24.50496272985489
2024-05-07 17:00:00,6.292155668423636,-24.50496272985489
2024-05-08 17:00:00,15.15917436839438,-15.637944029884144
2024-05-09 17:00:00,15.15917436839438,-8.11669136665646
2024-05-10 17:00:00,15.15917436839438,-8.11669136665646
2024-05-13 17:00:00,15.15917436839438,-8.11669136665646
2024-05-14 17:00:00,15.15917436839438,-8.11669136665646
2024-05-15 17:00:00,18.689419336892033,15.68619156872999
2024-05-16 17:00:00,18.689419336892033,15.68619156872999
2024-05-17 17:00:00,18.689419336892033,15.68619156872999
2024-05-20 17:00:00,18.689419336892033,15.68619156872999
2024-05-21 17:00:00,18.689419336892033,15.68619156872999
2024-05-22 17:00:00,15.662284635392936,15.662284635392936
2024-05-23 17:00:00,15.662284635392936,15.662284635392936
2024-05-24 17:00:00,15.662284635392936,15.662284635392936
2024-05-28 17:00:00,15.662284635392936,15.662284635392936
2024-05-29 17:00:00,13.43018245940506,13.43018245940506
2024-05-30 17:00:00,13.43018245940506,13.43018245940506
2024-05-31 17:00:00,13.43018245940506,13.43018245940506
2024-06-03 17:00:00,13.43018245940506,13.43018245940506
2024-06-04 17:00:00,13.43018245940506,13.43018245940506
2024-06-05 17:00:00,22.838840048664366,22.838840048664366
2024-06-06 17:00:00,26.431288529709967,26.431288529709967
2024-06-07 17:00:00,26.431288529709967,26.431288529709967
2024-06-10 17:00:00,26.431288529709967,26.431288529709967
2024-06-11 17:00:00,26.431288529709967,26.431288529709967
2024-06-12 17:00:00,33.09947233261547,33.09947233261547
2024-06-13 17:00:00,35.92405546240424,29.631899793980605
2024-06-14 17:00:00,35.92405546240424,29.631899793980605
2024-06-17 17:00:00,35.92405546240424,29.631899793980605
2024-06-18 17:00:00,35.92405546240424,29.631899793980605
2024-06-20 17:00:00,45.606637339593824,39.314481671170185
2024-06-21 17:00:00,45.606637339593824,30.447462971199442
2024-06-24 17:00:00,45.606637339593824,30.447462971199442
2024-06-25 17:00:00,45.606637339593824,30.447462971199442
2024-06-26 17:00:00,32.7882752490142,17.629100880619816
2024-06-27 17:00:00,33.77219754524027,18.613023176845886
2024-06-28 17:00:00,33.77219754524027,15.082778208348234
2024-07-01 17:00:00,33.77219754524027,15.082778208348234
2024-07-02 17:00:00,33.77219754524027,15.082778208348234
2024-07-03 17:00:00,21.584324847164442,2.894905510272409
2024-07-05 17:00:00,21.584324847164442,2.894905510272409
2024-07-08 17:00:00,21.584324847164442,5.922040211771506
2024-07-09 17:00:00,21.584324847164442,5.922040211771506
2024-07-10 17:00:00,34.48143904889799,18.819154413505053
2024-07-11 17:00:00,34.48143904889799,18.819154413505053
2024-07-12 17:00:00,34.48143904889799,21.05125658949293
2024-07-15 17:00:00,34.48143904889799,21.05125658949293
2024-07-16 17:00:00,34.48143904889799,21.05125658949293
2024-07-17 17:00:00,35.868462817057484,22.438280357652424
2024-07-18 17:00:00,35.868462817057484,22.438280357652424
2024-07-19 17:00:00,35.868462817057484,13.029622768393118
2024-07-22 17:00:00,35.868462817057484,9.437174287347517
2024-07-23 17:00:00,35.868462817057484,9.437174287347517
2024-07-24 17:00:00,22.19848432202992,-4.232804207680047
2024-07-25 17:00:00,23.32570233173148,-3.105586197978486
2024-07-26 17:00:00,23.32570233173148,-9.773770000883989
2024-07-29 17:00:00,23.32570233173148,-12.59835313067276
2024-07-30 17:00:00,23.32570233173148,-12.59835313067276
2024-07-31 17:00:00,16.41709673281298,-19.50695872959126
2024-08-01 17:00:00,17.7343879079237,-18.18966755448054
2024-08-02 17:00:00,17.7343879079237,-27.872249431670124
2024-08-05 17:00:00,17.7343879079237,-27.872249431670124
2024-08-06 17:00:00,17.7343879079237,-27.872249431670124
2024-08-07 17:00:00,19.0207166345995,-26.585920704994326
2024-08-08 17:00:00,20.289434860100798,-12.4988403889134
2024-08-09 17:00:00,20.289434860100798,-13.48276268513947
2024-08-12 17:00:00,20.289434860100798,-13.48276268513947
2024-08-13 17:00:00,20.289434860100798,-13.48276268513947
2024-08-14 17:00:00,40.4881903641103,6.715992818870035
2024-08-15 17:00:00,40.4881903641103,18.90386551694586
2024-08-16 17:00:00,40.4881903641103,18.90386551694586
2024-08-19 17:00:00,40.4881903641103,18.90386551694586
2024-08-20 17:00:00,40.4881903641103,18.90386551694586
2024-08-21 17:00:00,52.762309225132114,18.280870176234124
2024-08-22 17:00:00,52.762309225132114,18.280870176234124
2024-08-23 17:00:00,52.762309225132114,18.280870176234124
2024-08-26 17:00:00,52.762309225132114,18.280870176234124
2024-08-27 17:00:00,52.762309225132114,18.280870176234124
2024-08-28 17:00:00,45.70580660566419,9.83734378860671
2024-08-29 17:00:00,45.70580660566419,9.83734378860671
2024-08-30 17:00:00,45.70580660566419,9.83734378860671
2024-09-03 17:00:00,45.70580660566419,9.83734378860671
2024-09-04 17:00:00,40.451804917152046,4.583342100094562
2024-09-05 17:00:00,40.451804917152046,18.253320595122126
2024-09-06 17:00:00,40.451804917152046,17.126102585420565
2024-09-09 17:00:00,40.451804917152046,17.126102585420565
2024-09-10 17:00:00,40.451804917152046,17.126102585420565
2024-09-11 17:00:00,49.6595970880272,26.333894756295717
2024-09-12 17:00:00,49.6595970880272,33.24250035521422
2024-09-13 17:00:00,49.6595970880272,31.925209180103497
2024-09-16 17:00:00,49.6595970880272,31.925209180103497
2024-09-17 17:00:00,49.6595970880272,31.925209180103497
2024-09-18 17:00:00,64.72516195787816,46.99077404995445
2024-09-19 17:00:00,64.72516195787816,45.70444532327866
2024-09-20 17:00:00,64.72516195787816,44.43572709777736
2024-09-23 17:00:00,64.72516195787816,44.43572709777736
2024-09-24 17:00:00,64.72516195787816,44.43572709777736
2024-09-25 17:00:00,36.96306592872432,16.67363106862352
2024-09-26 17:00:00,36.96306592872432,-3.525124435385983
2024-09-27 17:00:00,36.96306592872432,-3.525124435385983
2024-09-30 17:00:00,36.96306592872432,-3.525124435385983
2024-10-01 17:00:00,36.96306592872432,-3.525124435385983
2024-10-02 17:00:00,27.138710988689244,-13.349479375421058
2024-10-03 17:00:00,27.138710988689244,-25.62359823644287
2024-10-04 17:00:00,27.138710988689244,-25.62359823644287
2024-10-07 17:00:00,27.138710988689244,-25.62359823644287
2024-10-08 17:00:00,27.138710988689244,-25.62359823644287
2024-10-09 17:00:00,29.075383255303606,-23.686925969828508
2024-10-10 17:00:00,29.075383255303606,-16.630423350360587
2024-10-11 17:00:00,29.075383255303606,-16.630423350360587
2024-10-14 17:00:00,29.075383255303606,-16.630423350360587
2024-10-15 17:00:00,29.075383255303606,-16.630423350360587
2024-10-16 17:00:00,17.2131590243015,-23.238645892850545
2024-10-17 17:00:00,17.2131590243015,-23.238645892850545
2024-10-18 17:00:00,17.2131590243015,-23.238645892850545
2024-10-21 17:00:00,17.2131590243015,-23.238645892850545
2024-10-22 17:00:00,17.2131590243015,-23.238645892850545
2024-10-23 17:00:00,20.440946135325436,-29.21865095270176
2024-10-24 17:00:00,20.440946135325436,-29.21865095270176
2024-10-25 17:00:00,20.440946135325436,-29.21865095270176
2024-10-28 17:00:00,20.440946135325436,-29.21865095270176
2024-10-29 17:00:00,20.440946135325436,-29.21865095270176
2024-10-30 17:00:00,3.508637279733022,-61.216524678145134
2024-10-31 17:00:00,3.508637279733022,-61.216524678145134
2024-11-01 17:00:00,3.508637279733022,-61.216524678145134
2024-11-04 17:00:00,3.508637279733022,-61.216524678145134
2024-11-05 17:00:00,3.508637279733022,-61.216524678145134
2024-11-06 17:00:00,0.0,-36.96306592872432
2024-11-07 17:00:00,0.0,-36.96306592872432
2024-11-08 17:00:00,0.0,-36.96306592872432
2024-11-11 17:00:00,0.0,-36.96306592872432
2024-11-12 17:00:00,0.0,-36.96306592872432
2024-11-13 17:00:00,18.240937626569462,-8.897773362119782
